"name","count","countries","cities","roles","samples"
"Arkhangelsk","2","Russia","Arkhangelsk","to","Arkhangelsk International Airport (ARH) -> Arkhangelsk || Arkhangelsk International Airport (ARH) -> Arkhangelsk"
"Arkhangelsk International Airport (ARH)","2","Russia","Arkhangelsk","from","Arkhangelsk International Airport (ARH) -> Arkhangelsk || Arkhangelsk International Airport (ARH) -> Arkhangelsk"
"Armenochori","1","Cyprus","Armenochori","to","Larnaca Airport (LCA) -> Armenochori"
"Arosa","5","Switzerland","Arosa","to","Zurich Airport (ZRH) -> Arosa || Zurich Airport (ZRH) -> Arosa || Zurich Airport (ZRH) -> Arosa"
"Arrecife","2","Spain","Arrecife","to","Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife || Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife"
"Årsta district, Stockholm","2","Sweden","Årsta district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Årsta district, Stockholm || Stockholm Arlanda Airport (ARN) -> Årsta district, Stockholm"
"Ås","1","Norway","Ås","to","Oslo Gardermoen Airport (OSL) -> Ås"
"Ascona","5","Switzerland","Ascona","to","Zurich Airport (ZRH) -> Ascona || Zurich Airport (ZRH) -> Ascona || Zurich Airport (ZRH) -> Ascona"
"Ashgabat","2","Turkmenistan","Ashgabat","to","Ashgabat International Airport (ASB) -> Ashgabat || Ashgabat International Airport (ASB) -> Ashgabat"
"Ashgabat International Airport (ASB)","2","Turkmenistan","Ashgabat","from","Ashgabat International Airport (ASB) -> Ashgabat || Ashgabat International Airport (ASB) -> Ashgabat"
"Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar)","10","Turkey","Istanbul","from|to","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW)"
"Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport)","8","Turkey","Istanbul","from|to","Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Sabiha Gokcen Airport (SAW)"
"Asker town","1","Norway","Asker town","to","Oslo Gardermoen Airport (OSL) -> Asker town"
"Asni","7","Morocco","Asni","to","Marrakesh Menara Airport (RAK) -> Asni || Marrakesh Menara Airport (RAK) -> Asni || Marrakesh Menara Airport (RAK) -> Asni"
"Asomatos","1","Cyprus","Asomatos","to","Larnaca Airport (LCA) -> Asomatos"
"Astrakhan'","2","Russia","Astrakhan'","to","Astrakhan' Narimanovo Airport (ASF) -> Astrakhan' || Astrakhan' Narimanovo Airport (ASF) -> Astrakhan'"
"Astrakhan' Narimanovo Airport (ASF)","2","Russia","Astrakhan'","from","Astrakhan' Narimanovo Airport (ASF) -> Astrakhan' || Astrakhan' Narimanovo Airport (ASF) -> Astrakhan'"
