Country,From,To,Type,Pax,Price,Currency,CAT,Transferz,Dottransfers,Talixo,Suntransfers,Alexandra
Egypt,Hurghada Airport (HRG),Hurghada,Standard class car,3,"€15,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),Hurghada,Standard minivan 7 pax,7,"€19,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),Makadi Bay,Standard class car,3,"€16,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),Makadi Bay,Standard minivan 7 pax,7,"€20,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),Safaga,Standard class car,3,"€24,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),Safaga,Standard minivan 7 pax,7,"€27,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),Soma Bay,Standard class car,3,"€19,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),Soma Bay,Standard minivan 7 pax,7,"€22,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Dahab,Standard class car,3,"€74,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Dahab,Standard minivan 7 pax,7,"€98,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),FUN&SUN FAMILY Albatros Palace,Standard minivan 8 pax,8,"€21,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Grand Rotana Resort,Business class car,3,"€80,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Grand Rotana Resort,Standard e-vehicle 3 pax,3,"€80,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Nabq Bay,Standard class car,3,"€19,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Nabq Bay,Standard minivan 7 pax,7,"€25,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Saint Catherine,Standard class car,3,"€202,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Saint Catherine,Standard minivan 7 pax,7,"€230,00",EUR,,,,,,
Egypt,Sharm el-Sheikh International Airport (SSH),Sharm El Sheikh,Standard class car,3,"€18,00",EUR,,,,,,
