"name","count","countries","cities","roles","samples","etoStatus","category"
"Ibiza Airport (IBZ)","5","Spain","Ibiza","from","Ibiza Airport (IBZ) -> Ibiza || Ibiza Airport (IBZ) -> Ibiza || Ibiza Airport (IBZ) -> Ibiza","missing","airport"
"Islamabad International Airport (ISB)","5","Pakistan","Islamabad","from","Islamabad International Airport (ISB) -> Islamabad || Islamabad International Airport (ISB) -> Islamabad || Islamabad International Airport (ISB) -> Islamabad","missing","airport"
"Ivanovo Yuzhny Airport (IWA)","5","Russia","Ivanovo","from","Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo","missing","airport"
"Kazan International Airport (KZN)","5","Russia","Elabuga|Kazan|Naberezhnye Chelny|Nizhnekamsk","from","Kazan International Airport (KZN) -> Elabuga || Kazan International Airport (KZN) -> Kazan || Kazan International Airport (KZN) -> Kazan","missing","airport"
"Kemerovo International Airport (KEJ)","5","Russia","Kemerovo","from","Kemerovo International Airport (KEJ) -> Kemerovo || Kemerovo International Airport (KEJ) -> Kemerovo || Kemerovo International Airport (KEJ) -> Kemerovo","missing","airport"
"Kiev Boryspil International Airport (KBP)","5","Ukraine","Kiev City center","from","Kiev Boryspil International Airport (KBP) -> Kiev City center || Kiev Boryspil International Airport (KBP) -> Kiev City center || Kiev Boryspil International Airport (KBP) -> Kiev City center","missing","airport"
"Kiev Zhuliany International Airport (IEV)","5","Ukraine","Kiev City center","from","Kiev Zhuliany International Airport (IEV) -> Kiev City center || Kiev Zhuliany International Airport (IEV) -> Kiev City center || Kiev Zhuliany International Airport (IEV) -> Kiev City center","missing","airport"
"Lyon St-Exupéry Airport (LYS)","5","France","Lyon","from","Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon","missing","airport"
"Marseille Provence Airport (MRS)","5","France","Marseille","from","Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille","missing","airport"
"Milan Malpensa Airport (MXP)","5","Italy","Milan","from","Milan Malpensa Airport (MXP) -> Milan || Milan Malpensa Airport (MXP) -> Milan || Milan Malpensa Airport (MXP) -> Milan","missing","airport"
"Murmansk Airport (MMK)","5","Russia","Murmansk","from","Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk","missing","airport"
"Nizhny Novgorod International Airport (GOJ)","5","Russia","Nizhny Novgorod","from","Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod || Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod || Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod","missing","airport"
"Nur-Sultan Nursultan Nazarbayev Airport (NQZ)","5","Kazakhstan","Nur-Sultan (Astana)","from","Nur-Sultan Nursultan Nazarbayev Airport (NQZ) -> Nur-Sultan (Astana) || Nur-Sultan Nursultan Nazarbayev Airport (NQZ) -> Nur-Sultan (Astana) || Nur-Sultan Nursultan Nazarbayev Airport (NQZ) -> Nur-Sultan (Astana)","missing","airport"
"Paris railway station","5","France","Paris","from","Paris railway station -> Paris || Paris railway station -> Paris || Paris railway station -> Paris","missing","station"
"Rome Fiumicino Airport (FCO)","5","Italy","Rome","from","Rome Fiumicino Airport (FCO) -> Rome || Rome Fiumicino Airport (FCO) -> Rome || Rome Fiumicino Airport (FCO) -> Rome","missing","airport"
"Rome-Ciampino G. B. Pastine Airport (CIA)","5","Italy","Rome","from","Rome-Ciampino G. B. Pastine Airport (CIA) -> Rome || Rome-Ciampino G. B. Pastine Airport (CIA) -> Rome || Rome-Ciampino G. B. Pastine Airport (CIA) -> Rome","missing","airport"
"Seville Airport (SVQ)","5","Spain","Seville","from","Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville","missing","airport"
"Tyumen Roshchino International Airport (TJM)","5","Russia","Tyumen","from","Tyumen Roshchino International Airport (TJM) -> Tyumen || Tyumen Roshchino International Airport (TJM) -> Tyumen || Tyumen Roshchino International Airport (TJM) -> Tyumen","missing","airport"
"Valencia Airport (VLC)","5","Spain","Valencia","from","Valencia Airport (VLC) -> Valencia || Valencia Airport (VLC) -> Valencia || Valencia Airport (VLC) -> Valencia","missing","airport"
