"name","count","countries","cities","roles","samples","etoStatus"
"Bangrak Beach","7","Thailand","Bangrak Beach","to","Bangkok Suvarnabhumi Airport (BKK) -> Bangrak Beach || Bangkok Suvarnabhumi Airport (BKK) -> Bangrak Beach || Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Beach","present_exact"
"Bangrak Pier","4","Thailand","Bangrak Pier","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Pier || Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Pier || Samui International Airport (USM) -> Bangrak Pier","present_exact"
"Barcelona","4","Spain","Barcelona","to","Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona","present_exact"
"Barcelona El Prat Airport (BCN)","15","Spain","Barcelona|Barcelona El Prat Airport (BCN)|Blanes|Calella|Port of Barcelona","from|to","Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona","present_exact"
"Barnaul","1","Russia","Barnaul","to","Barnaul Airport (BAX) -> Barnaul","present_exact"
"Barnaul Airport (BAX)","1","Russia","Barnaul","from","Barnaul Airport (BAX) -> Barnaul","present_exact"
"Basel","5","France","Basel","to","EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel || EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel || EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel","present_exact"
"Bataysk","1","Russia","Bataysk","to","Rostov-on-Don Platov Airport (ROV) -> Bataysk","present_exact"
"Batumi","6","Georgia","Batumi","to","Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi","present_exact"
"Begishevo Airport (NBC)","2","Russia","Naberezhnye Chelny","from","Begishevo Airport (NBC) -> Naberezhnye Chelny || Begishevo Airport (NBC) -> Naberezhnye Chelny","present_exact"
"Beijing Capital International Airport (PEK)","6","China","Beijing city center","from","Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center","present_exact"
"Beijing city center","9","China","Beijing city center","to","Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center","present_exact"
"Beijing Daxing International Airport (PKX)","3","China","Beijing city center","from","Beijing Daxing International Airport (PKX) -> Beijing city center || Beijing Daxing International Airport (PKX) -> Beijing city center || Beijing Daxing International Airport (PKX) -> Beijing city center","present_exact"
"Beitostølen (Beitostolen)","1","Norway","Beitostølen (Beitostolen)","to","Oslo Gardermoen Airport (OSL) -> Beitostølen (Beitostolen)","present_exact"
"Beldibi town, Kemer","4","Turkey","Beldibi town, Kemer","to","Antalya Airport (AYT) -> Beldibi town, Kemer || Antalya Airport (AYT) -> Beldibi town, Kemer || Antalya Airport (AYT) -> Beldibi town, Kemer","present_exact"
"Belek","4","Turkey","Belek","to","Antalya Airport (AYT) -> Belek || Antalya Airport (AYT) -> Belek || Antalya Airport (AYT) -> Belek","present_exact"
"Belgorod","3","Russia","Belgorod","to","Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod","present_exact"
"Belgorod Airport (EGO)","3","Russia","Belgorod","from","Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod","present_exact"
