"name","count","countries","cities","roles","samples","etoStatus"
"Bergamo Orio al Serio Airport (BGY)","5","Italy","Milan","from","Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan","present_exact"
"Bergen City","1","Norway","Bergen City","to","Oslo Gardermoen Airport (OSL) -> Bergen City","present_exact"
"Berlin","7","Germany","Berlin","to","Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin","present_exact"
"Berlin Brandenburg Airport (BER)","7","Germany","Berlin","from","Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin","present_exact"
"Beverly Hills","24","United States of America","Beverly Hills|Los Angeles","to","John Wayne Airport (SNA) -> Beverly Hills || John Wayne Airport (SNA) -> Beverly Hills || John Wayne Airport (SNA) -> Beverly Hills","present_exact"
"Big Buddha","7","Thailand","Big Buddha","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Big Buddha || Koh Samui - Mae Nam Port (Surat Thani ) -> Big Buddha || Samui International Airport (USM) -> Big Buddha","present_exact"
"Bilbao","4","Spain","Bilbao","to","Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao","present_exact"
"Bilbao Airport (BIO)","4","Spain","Bilbao","from","Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao","present_exact"
"Billund Airport (BLL)","3","Denmark","Aarhus","from","Billund Airport (BLL) -> Aarhus city || Billund Airport (BLL) -> Horsens || Billund Airport (BLL) -> Silkeborg","present_exact"
"Bishkek","2","Kirgizstan","Bishkek","to","Bishkek Manas Airport (FRU) -> Bishkek || Bishkek Manas Airport (FRU) -> Bishkek","present_exact"
"Bishkek Manas Airport (FRU)","2","Kirgizstan","Bishkek","from","Bishkek Manas Airport (FRU) -> Bishkek || Bishkek Manas Airport (FRU) -> Bishkek","present_exact"
"Blanes","1","Spain","Blanes","to","Barcelona El Prat Airport (BCN) -> Blanes","present_exact"
"Boden","1","Sweden","Boden","to","Luleå Airport (LLA) -> Boden","present_exact"
"Bodrum","4","Russia","Bodrum","to","Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum","present_exact"
"Bogazkent / Boğazkent","7","Turkey","Bogazkent / Boğazkent","to","Antalya Airport (AYT) -> Bogazkent / Boğazkent || Antalya Airport (AYT) -> Bogazkent / Boğazkent || Antalya Airport (AYT) -> Bogazkent / Boğazkent","present_exact"
"Boliden","1","Sweden","Boliden","to","Luleå Airport (LLA) -> Boliden","present_exact"
"Bophut Beach","6","Thailand","Bophut Beach","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bophut Beach || Koh Samui - Mae Nam Port (Surat Thani ) -> Bophut Beach || Samui International Airport (USM) -> Bophut Beach","present_exact"
"Borås / Boras","1","Sweden","Borås / Boras","to","Gothenburg Landvetter Airport (GOT) -> Borås / Boras","present_exact"
"Bordeaux","3","France","Bordeaux","to","Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux","present_exact"
"Bordeaux–Mérignac Airport (BOD)","3","France","Bordeaux","from","Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux","present_exact"
"Borgholm","1","Sweden","Borgholm","to","Kalmar Airport (KLR) -> Borgholm","present_exact"
"Bozburun (Marmaris)","3","Turkey","Bozburun (Marmaris)","to","Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris)","present_exact"
"Brighton","4","United Kingdom","Brighton","to","London Heathrow Airport (LHR) -> Brighton || London Heathrow Airport (LHR) -> Brighton || London Heathrow Airport (LHR) -> Brighton","present_exact"
"Bromma district, Stockholm","2","Sweden","Bromma district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Bromma district, Stockholm || Stockholm Arlanda Airport (ARN) -> Bromma district, Stockholm","present_exact"
"Buena Park","14","United States of America","Buena Park","to","John Wayne Airport (SNA) -> Buena Park || John Wayne Airport (SNA) -> Buena Park || John Wayne Airport (SNA) -> Buena Park","present_exact"
"Buenos Aires","3","Argentina","Buenos Aires","to","Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires","present_exact"
"Buenos Aires Ministro Pistarini Airport (EZE)","3","Argentina","Buenos Aires","from","Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires","present_exact"
"Bur Dubai Area","10","United Arab Emirates","Bur Dubai Area","to","Dubai international Airport (DXB) -> Bur Dubai Area || Dubai international Airport (DXB) -> Bur Dubai Area || Dubai international Airport (DXB) -> Bur Dubai Area","present_exact"
"Burbank","14","United States of America","Burbank","to","Long Beach Airport (LGB) -> Burbank || Long Beach Airport (LGB) -> Burbank || Long Beach Airport (LGB) -> Burbank","present_exact"
"Burgas","1","Bulgaria","Burgas","to","Varna Airport (VAR) -> Burgas","present_exact"
"Bursa","2","Turkey","Istanbul","from","Bursa -> Anadolu transfer || Bursa -> Anadolu transfer","present_exact"
"Bursa daily trip","2","Turkey","Istanbul","to","Istanbul -> Bursa daily trip || Istanbul -> Bursa daily trip","present_exact"
"Busan","3","South Korea","Busan","to","Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan","present_exact"
"Busan Gimhae Airport (PUS)","17","South Korea","Busan|Daegu|Geoje Island|Gijang-gun|Gyeongju|Jeonju","from","Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan","present_exact"
"Cairo city centre","2","Egypt","Cairo city centre","to","Cairo International Airport (CAI) -> Cairo city centre || Cairo International Airport (CAI) -> Cairo city centre","present_exact"
"Cairo International Airport (CAI)","19","Egypt","6 of October|Cairo city centre|El Alamein|Giza|Heliopolis|Hurghada|Marsa Matrouh|Ras Suder|Sharm El Sheikh|Suez city centre","from","Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> Cairo city centre","present_exact"
"Calabasas","21","United States of America","Calabasas","to","John Wayne Airport (SNA) -> Calabasas || John Wayne Airport (SNA) -> Calabasas || John Wayne Airport (SNA) -> Calabasas","present_exact"
"Calella","5","Spain","Calella","to","Barcelona El Prat Airport (BCN) -> Calella || Barcelona El Prat Airport (BCN) -> Calella || Barcelona El Prat Airport (BCN) -> Calella","present_exact"
"Camyuva / Çamyuva","4","Turkey","Camyuva / Çamyuva","to","Antalya Airport (AYT) -> Camyuva / Çamyuva || Antalya Airport (AYT) -> Camyuva / Çamyuva || Antalya Airport (AYT) -> Camyuva / Çamyuva","present_exact"
"Canggu","1","Indonesia","Canggu","to","Denpasar Ngurah Rai Airport (DPS) -> Canggu","present_exact"
"Cape Town","1","South Africa","Cape Town","to","Cape Town International Airport (CPT) -> Cape Town","present_exact"
"Cape Town International Airport (CPT)","1","South Africa","Cape Town","from","Cape Town International Airport (CPT) -> Cape Town","present_exact"
"Catania","2","Italy","Catania","to","Catania–Fontanarossa Airport (CTA) -> Catania || Catania–Fontanarossa Airport (CTA) -> Catania","present_exact"
"Catania–Fontanarossa Airport (CTA)","2","Italy","Catania","from","Catania–Fontanarossa Airport (CTA) -> Catania || Catania–Fontanarossa Airport (CTA) -> Catania","present_exact"
"Central and Western","2","China","Central and Western","to","Hong Kong Airport (HKG) -> Central and Western || Hong Kong Airport (HKG) -> Central and Western","present_exact"
"cercle d' Loudaya","7","Morocco","cercle d' Loudaya","to","Marrakesh Menara Airport (RAK) -> cercle d' Loudaya || Marrakesh Menara Airport (RAK) -> cercle d' Loudaya || Marrakesh Menara Airport (RAK) -> cercle d' Loudaya","present_exact"
"Cerkezkoy daily trip","2","Turkey","Istanbul","to","European Side -> Cerkezkoy daily trip || European Side -> Cerkezkoy daily trip","present_exact"
"Cerkezkoy transfer","4","Turkey","Istanbul","to","Istanbul Airport (IST) -> Cerkezkoy transfer || Istanbul Airport (IST) -> Cerkezkoy transfer || Istanbul Sabiha Gokcen Airport (SAW) -> Cerkezkoy transfer","present_exact"
"Cesar Manrique-Lanzarote Airport (ACE)","2","Spain","Arrecife","from","Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife || Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife","present_exact"
"Cha Am Beach, Phetchaburi","5","Thailand","Cha Am Beach, Phetchaburi","to","Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi","present_exact"
"Chalong, Mueang, Phuket","7","Thailand","Chalong, Mueang, Phuket","to","Phuket International Airport (HKT) -> Chalong, Mueang, Phuket || Phuket International Airport (HKT) -> Chalong, Mueang, Phuket || Phuket International Airport (HKT) -> Chalong, Mueang, Phuket","present_exact"
"Charles de Gaulle Airport (CDG)","10","France","Disneyland|Paris","from","Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland","present_exact"
"Charleston","4","United States of America","Charleston","to","Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston","present_exact"
"Charleston International Airport (CHS)","4","United States of America","Charleston","from","Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston","present_exact"
"Chaweng, Samui, Thailand","5","Thailand","Chaweng, Samui, Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Chaweng, Samui, Thailand || Samui International Airport (USM) -> Chaweng, Samui, Thailand || Samui International Airport (USM) -> Chaweng, Samui, Thailand","present_exact"
"Chelyabinsk","5","Russia","Chelyabinsk","to","Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk","present_exact"
"Chelyabinsk Airport (CEK)","5","Russia","Chelyabinsk","from","Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk","present_exact"
"Cheow Lan Dam, Surat Thani","2","Thailand","Cheow Lan Dam, Surat Thani","to","Phuket International Airport (HKT) -> Cheow Lan Dam, Surat Thani || Phuket International Airport (HKT) -> Cheow Lan Dam, Surat Thani","present_exact"
"Cherepovets","1","Russia","Cherepovets","to","Cherepovets Airport (CEE) -> Cherepovets","present_exact"
"Cherepovets Airport (CEE)","1","Russia","Cherepovets","from","Cherepovets Airport (CEE) -> Cherepovets","present_exact"
"Chiang Mai","5","Thailand","Chiang Mai","to","Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai","present_exact"
"Chiang Mai International Airport (CNX)","34","Thailand","Chiang Mai|Chiang Mai International Airport (CNX)|Chiang Mai Outskirts|Chiang Mai Train Station|Doi Saket district|Doi Suthep Temple|Hang Dong District|Lampang District|Lampoon|Mae Rim district|Mae-Hongsorn district|Maetang district|Phitsanulok|Samoeng district|Sukhothai disctrict|mae salong district","from|to","Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai","present_exact"
"Chiang Mai Outskirts","2","Thailand","Chiang Mai Outskirts","to","Chiang Mai International Airport (CNX) -> Chiang Mai Outskirts || Chiang Mai International Airport (CNX) -> Chiang Mai Outskirts","present_exact"
"Chiang Mai Train Station","4","Thailand","Chiang Mai|Chiang Mai International Airport (CNX)|Chiang Mai Train Station","from|to","Chiang Mai Train Station -> Chiang Mai || Chiang Mai Train Station -> Chiang Mai || Chiang Mai Train Station -> Chiang Mai International Airport (CNX)","present_exact"
"Chicago","3","United States of America","Chicago","to","Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago","present_exact"
"Chicago O'Hare Airport (ORD)","3","United States of America","Chicago","from","Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago","present_exact"
"Chita","3","Russia","Chita","to","Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita","present_exact"
"Chita-Kadala International Airport (HTA)","3","Russia","Chita","from","Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita","present_exact"
"Chloraka","1","Cyprus","Chloraka","to","Larnaca Airport (LCA) -> Chloraka","present_exact"
"Chlorakas","1","Cyprus","Chlorakas","to","Paphos Airport (PFO) -> Chlorakas","present_exact"
"Choeng Thale","6","Thailand","Choeng Thale","to","Phuket International Airport (HKT) -> Choeng Thale || Phuket International Airport (HKT) -> Choeng Thale || Phuket International Airport (HKT) -> Choeng Thale","present_exact"
"Choengmom beach and gardens","7","Thailand","Choengmom beach and gardens","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Choengmom beach and gardens || Koh Samui - Mae Nam Port (Surat Thani ) -> Choengmom beach and gardens || Samui International Airport (USM) -> Choengmom beach and gardens","present_exact"
"Chula Vista","14","United States of America","Chula Vista","to","John Wayne Airport (SNA) -> Chula Vista || John Wayne Airport (SNA) -> Chula Vista || John Wayne Airport (SNA) -> Chula Vista","present_exact"
"Chumphon town","2","Thailand","Chumphon town","to","Phuket International Airport (HKT) -> Chumphon town || Phuket International Airport (HKT) -> Chumphon town","present_exact"
"Cirali / Çıralı (Kemer, Antlaya)","4","Turkey","Cirali / Çıralı (Kemer, Antlaya)","to","Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya) || Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya) || Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya)","present_exact"
"City of Dream","1","Cyprus","City of Dream","to","Larnaca Airport (LCA) -> City of Dream","present_exact"
"Colakli / Çolaklı","5","Turkey","Colakli / Çolaklı","to","Antalya Airport (AYT) -> Colakli / Çolaklı || Antalya Airport (AYT) -> Colakli / Çolaklı || Antalya Airport (AYT) -> Colakli / Çolaklı","present_exact"
"Cologne","3","Germany","Cologne","to","Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne","present_exact"
"Cologne Bonn Airport (CGN)","3","Germany","Cologne","from","Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne","present_exact"
"Colombo","2","Sri-Lanka","Colombo","to","Colombo Bandaranaike Airport (CMB) -> Colombo || Hikkaduwa -> Colombo","present_exact"
"Colombo Bandaranaike Airport (CMB)","2","Sri-Lanka","Colombo|Kandy","from","Colombo Bandaranaike Airport (CMB) -> Colombo || Colombo Bandaranaike Airport (CMB) -> Kandy","present_exact"
"Conrad Hotel Samui","7","Thailand","Conrad Hotel Samui","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Conrad Hotel Samui || Koh Samui - Mae Nam Port (Surat Thani ) -> Conrad Hotel Samui || Samui International Airport (USM) -> Conrad Hotel Samui","excluded_not_needed"
"Copenhagen","8","Denmark|Sweden","Copenhagen","to","Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen","present_exact"
"Copenhagen Cruise Port","4","Denmark","Copenhagen","from","Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen","present_exact"
"Copenhagen Kastrup Airport (CPH)","20","Denmark|Sweden","Copenhagen|Glostrup|Gøteborg / Göteborg / Gothenburg|Malmö / Malmo|Malmö Sturup Airport (MMX)|Roskilde|Copenhagen Kastrup Airport (CPH)","from|to","Copenhagen Kastrup Airport (CPH) -> Copenhagen || Copenhagen Kastrup Airport (CPH) -> Copenhagen || Copenhagen Kastrup Airport (CPH) -> Copenhagen","present_exact"
"Costa Adeje","6","Spain","Costa Adeje","to","Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje","present_exact"
"Daegu","3","South Korea","Daegu","to","Busan Gimhae Airport (PUS) -> Daegu || Busan Gimhae Airport (PUS) -> Daegu || Busan Gimhae Airport (PUS) -> Daegu","present_exact"
"Dahab","2","Egypt","Dahab","to","Sharm el-Sheikh International Airport (SSH) -> Dahab || Sharm el-Sheikh International Airport (SSH) -> Dahab","present_exact"
"Dalaman Airport (DLM)","18","Turkey","Bozburun (Marmaris)|Datça|Hisarönü (Marmaris)|Marmaris|Selimiye (Marmaris)|Turunç (Marmaris)","from","Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris)","present_exact"
"Dali","1","Cyprus","Dali","to","Larnaca Airport (LCA) -> Dali","present_exact"
"Dallas","20","United States of America","Dallas","to","Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas","present_exact"
"Dallas Addison Airport (ADS)","5","United States of America","Dallas","from","Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas","present_exact"
"Dallas Executive Airport (RBD)","5","United States of America","Dallas","from","Dallas Executive Airport (RBD) -> Dallas || Dallas Executive Airport (RBD) -> Dallas || Dallas Executive Airport (RBD) -> Dallas","present_exact"
"Dallas Fort Worth Airport (DFW)","5","United States of America","Dallas","from","Dallas Fort Worth Airport (DFW) -> Dallas || Dallas Fort Worth Airport (DFW) -> Dallas || Dallas Fort Worth Airport (DFW) -> Dallas","present_exact"
